id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj
Bradi1g14660,275.078528079632,430.151204520094,120.00585163917,0.278985273964435,-1.84173912243568,0.0000000025089449917676,0.0000032899648092049
Bradi1g30020,24.7559881713634,9.51380055457743,39.9981757881493,4.20422685536589,2.07184051760677,0.0000332636880737908,0.0125680361786601
Bradi1g33530,256.021798311259,153.029397487301,359.014199135217,2.34604726301043,1.230232077912,0.000023027933723131,0.00933343088283702
Bradi1g37600,836.318905923189,521.469467317895,1151.16834452848,2.20754697384174,1.14244413694849,0.000141087126724628,0.037001343869946
Bradi1g41115,163.619011729049,75.8283842022463,251.409639255851,3.31550832713647,1.72923007842756,0.0000541323731601583,0.0188549822263476
Bradi1g46150,70.7766443480562,21.8498162483007,119.703472447812,5.47846586385463,2.45377195149343,0.00000114502385063429,0.00062255784581316
Bradi1g46500,657.483812189291,310.174879163705,1004.79274521488,3.23943946693557,1.69574419945784,0.0000738630254753082,0.0231909093506419
Bradi1g47935,5.32755213927699,10.655104278554,0,0,-Inf,0.0000591621973424401,0.0196842343754877
Bradi1g56080,193.57371947283,278.130945644645,109.016493301015,0.39196103493029,-1.35121785255431,0.00011290351632338,0.0321454350404436
Bradi1g57630,5.94816469721491,11.8963293944298,0,0,-Inf,0.000128014716491034,0.0352309143212114
Bradi1g58857,86.5860783225267,171.865634332622,1.30652231243093,0.00760199860492374,-7.03940552421751,0.00000000000000000000000576834666043899,0.000000000000000000042862661251502
Bradi1g59587,23.9651061627393,6.2034595011741,41.7267528243046,6.72636821702585,2.74982775750509,0.000118667371278086,0.0330666630066386
Bradi1g59690,3783.63505812012,1733.37580280509,5833.89431343515,3.36562579447242,1.7508747802121,0.00000000086258048941825,0.00000137347459072226
Bradi1g63480,303.307771248575,167.785112396727,438.830430100424,2.61543127296545,1.3870488600734,0.000000754937196771384,0.000436825693230136
Bradi1g68887,32.1845120160343,3.16042668311123,61.2085973489575,19.3671942070498,4.27554305570629,0.0000953775815932707,0.0279757506431209
Bradi1g72440,120.991580376428,16.8577821951773,225.125378557679,13.3543888484977,3.73924204874009,0.00000000168107585166131,0.00000234215893032712
Bradi1g75410,50.7576317927276,77.8274033438882,23.6878602415669,0.304364005784695,-1.71613033968045,0.000146584104363067,0.0375592282122011
Bradi1g78832,9.00892730696073,17.0704373618386,0.947417252082832,0.0555004673870165,-4.17135626886889,0.0000000411937213896735,0.0000367316174887441
Bradi2g00540,49.834490801569,88.2028574839163,11.4661241192217,0.129997195627279,-2.94344759392792,0.00018558911378616,0.0470130968695577
Bradi2g00740,355.135297042415,125.242598532238,585.027995552592,4.67115823536671,2.22378031722379,0.00000000107856928905921,0.00000160289777278053
Bradi2g04570,163.841642656042,17.2463427759495,310.436942536134,18.0001607627239,4.1699378864728,0.0000000124464324257832,0.0000132121843635981
Bradi2g09434,177.114176820549,286.764221249161,67.4641323919372,0.235259936187505,-2.08767243851924,0.00000000845122234390623,0.00000941973242451788
Bradi2g22907,22.1556260239702,0,44.3112520479403,Inf,Inf,0.000000000000000326497878759627,0.00000000000145565814266192
Bradi2g23010,2.95374462048666,5.90748924097333,0,0,-Inf,0.0000355323055624727,0.013201435926644
Bradi2g23507,1226.52298581029,1668.12263335523,784.923338265353,0.470542946046221,-1.0876016924003,0.000107988612304911,0.0312634044870269
Bradi2g23797,869.821174038573,55.1876882850416,1684.4546597921,30.5222906074989,4.93179133111204,0.000000000000400569643585953,0.00000000127564264211687
Bradi2g23837,32.8049515808377,18.0920372009757,47.5178659606997,2.62645192649377,1.39311517823192,0.0000696476166515934,0.022179781005676
Bradi2g25527,106.943352879885,165.019499384801,48.8672063749698,0.2961298910562,-1.7556979728216,0.000000783825037197444,0.000436825693230136
Bradi2g26240,1812.15310624626,1094.26531818594,2530.04089430658,2.31209090908669,1.20919812427029,0.000063365446801918,0.0207726844133582
Bradi2g26760,288.84665203419,142.954302229584,434.739001838797,3.04110471009545,1.60459549151988,0.00000420430306243111,0.00187444647735429
Bradi2g31107,409.019974381541,621.572526971127,196.467421791954,0.316081250806441,-1.66163263437069,0.0000000142706317965745,0.00001446004200042
Bradi2g31520,28.6600659926633,5.88888402769583,51.4312479576307,8.73361535322243,3.12657899319529,0.0000000602024825231648,0.0000479297764430853
Bradi2g32230,39.4016089637564,8.52902525255632,70.2741926749564,8.23941665009068,3.04254219835351,0.000044781629589445,0.0163651161771788
Bradi2g33030,35.0947097701044,60.8824426719516,9.3069768682572,0.152867993789364,-2.70964171588591,0.00000254131645426888,0.00129531612387879
Bradi2g35467,25.6588308334804,46.5993649960355,4.71829667092523,0.101252381257269,-3.30397225713548,0.0000000290392848975977,0.000026972655789052
Bradi2g35780,5.48734924130738,1.38186425913592,9.59283422347885,6.94195117939968,2.79534121917324,0.000193919523969234,0.0480317114258019
Bradi2g36870,55.8315160162448,107.31139378509,4.35163824739913,0.0405515024445031,-4.62410082208732,0.000000000000000185837360370943,0.00000000000103567160934726
Bradi2g41130,181.845081285699,83.7306731432276,279.959489428171,3.34357146453701,1.74138995339817,0.0000000548752737821778,0.0000459228337668842
Bradi2g44300,43.3529051967701,20.4702869371444,66.2355234563959,3.23569101203991,1.69407384612345,0.000139337405148393,0.037001343869946
Bradi2g47480,10.1604546480865,3.15848252740706,17.162426768766,5.43375707158191,2.44195006805193,0.000000301995955637655,0.000204002843729533
Bradi2g47490,86.9084270309474,31.039014348842,142.777839713053,4.59994760492063,2.20161742844103,0.00000000000404934093411827,0.00000000820617346394222
