IDENTIFIER	log2FoldChange
bradi1g00950.1|pacid:21820029	3.33909180428231
bradi1g00970.1|pacid:21820716	2.41363841487409
bradi1g01436.1|pacid:21821646	2.2022810937361
bradi1g01630.1|pacid:21818145	-2.23538302930179
bradi1g01750.1|pacid:21815927	-2.08290642534548
bradi1g03207.1|pacid:21820765	-2.81697665433501
bradi1g03670.1|pacid:21819096	2.00148164184025
bradi1g03760.1|pacid:21821650	-5.51130913822724
bradi1g03790.1|pacid:21819744	-3.48256333631363
bradi1g04150.1|pacid:21820881	-2.13984627809612
bradi1g06050.1|pacid:21815574	-2.50738730868315
bradi1g06450.1|pacid:21821541	-2.23105080863618
bradi1g07410.1|pacid:21820572	-2.39094137010159
bradi1g07440.1|pacid:21822107	-2.76968799322282
bradi1g07680.1|pacid:21818142	-2.30616057796909
bradi1g07890.1|pacid:21816834	-3.30215368568064
bradi1g07900.1|pacid:21822701	-2.3520597670666
bradi1g08120.1|pacid:21816636	-2.19437288994077
bradi1g08145.1|pacid:21817631	-2.65989398234157
bradi1g08357.1|pacid:21816019	3.3646614764004
bradi1g08820.1|pacid:21815347	2.1848411285984
bradi1g08890.1|pacid:21823259	-3.29903462416918
bradi1g09010.1|pacid:21822683	-2.20804227263453
bradi1g09040.1|pacid:21820936	-3.01287610424868
bradi1g09240.1|pacid:21821287	-2.80697242025437
bradi1g10330.1|pacid:21820578	-3.50466446164147
bradi1g10347.1|pacid:21820789	-2.26467545643126
bradi1g11630.1|pacid:21820279	-2.36828044309665
bradi1g12000.1|pacid:21821334	-2.32701596260745
bradi1g12090.1|pacid:21815923	-2.85855433864088
bradi1g12760.1|pacid:21823740	2.78892669969427
bradi1g12850.1|pacid:21822841	2.15195353653223
bradi1g13207.1|pacid:21819573	2.31835324859528
bradi1g13232.1|pacid:21819059	-2.15066043050845
bradi1g13530.1|pacid:21823396	-2.00143231161941
bradi1g14350.1|pacid:21816922	-2.2117038366552
bradi1g15190.1|pacid:21816547	2.7037221383329
bradi1g15547.1|pacid:21819326	-3.51240836269702
bradi1g16470.1|pacid:21819018	-2.25711581857465
bradi1g16710.1|pacid:21823010	-2.29760311524807
bradi1g17200.1|pacid:21822259	2.28355123875425
bradi1g17510.1|pacid:21820230	2.07010585550178
bradi1g17790.1|pacid:21823605	-2.30836404042379
bradi1g18330.1|pacid:21819595	2.58816847750173
bradi1g18920.1|pacid:21821613	2.0572707511329
bradi1g19270.1|pacid:21822420	2.1928766986297
bradi1g19730.1|pacid:21816504	2.20083471026798
bradi1g20592.1|pacid:21816117	-2.3914120261032
bradi1g20737.1|pacid:21818981	2.09248126001953
bradi1g22050.1|pacid:21823179	2.00696724670275
bradi1g22700.1|pacid:21822885	-2.40190512226539
bradi1g23390.1|pacid:21817830	-2.10163652560259
bradi1g24640.1|pacid:21815429	-2.67502472962467
bradi1g24790.1|pacid:21819690	-2.2181654379315
bradi1g24920.1|pacid:21816605	-3.1616881746218
bradi1g25400.1|pacid:21818355	-2.10920657520528
bradi1g25460.1|pacid:21815633	-2.55735146298553
bradi1g27290.1|pacid:21818334	-2.11451292465747
bradi1g27290.2|pacid:21818335	-2.11451292465747
bradi1g27440.1|pacid:21816360	-2.416278010752
bradi1g29610.1|pacid:21821086	3.19789959372429
bradi1g29750.1|pacid:21814869	2.3612332186427
bradi1g30150.1|pacid:21823568	-2.96135204336557
bradi1g30240.1|pacid:21820938	2.69375043713379
bradi1g31160.1|pacid:21817226	-2.70305805083952
bradi1g32460.1|pacid:21821374	-2.29829516280863
bradi1g32700.1|pacid:21820698	-2.49978888048651
bradi1g32840.1|pacid:21822090	-2.47167050688821
bradi1g33000.1|pacid:21819439	-3.25128972892173
bradi1g33300.1|pacid:21818034	-2.78287952504434
bradi1g33650.1|pacid:21821681	-3.92642240380372
bradi1g33790.1|pacid:21821975	2.52246609295154
bradi1g33950.1|pacid:21823645	2.03030816748959
bradi1g35030.1|pacid:21819928	2.34113882219975
bradi1g35100.1|pacid:21819653	-2.22732663226717
bradi1g36130.1|pacid:21818360	2.16355709621198
bradi1g36900.1|pacid:21820727	3.1421609865319
bradi1g37080.1|pacid:21823320	-2.81511911298831
bradi1g37090.1|pacid:21816634	-2.06245953596257
bradi1g37620.1|pacid:21820787	-2.01955757889524
bradi1g37826.1|pacid:21815215	-2.1107337828468
bradi1g37826.2|pacid:21815216	-2.1107337828468
bradi1g38340.1|pacid:21817777	-2.44949130706636
bradi1g39010.1|pacid:21821465	3.0282291357767
bradi1g39030.1|pacid:21821684	2.30808221317634
bradi1g39270.1|pacid:21821270	-2.47959314237277
bradi1g40350.1|pacid:21820782	3.24537073581494
bradi1g41115.1|pacid:21823499	2.61295342901889
bradi1g42370.1|pacid:21816675	2.15823281873469
bradi1g42450.1|pacid:21817023	2.26003005766678
bradi1g42890.1|pacid:21817132	-2.37231350369109
bradi1g43090.1|pacid:21816100	2.1869548447899
bradi1g43990.1|pacid:21821397	3.34646484077253
bradi1g44390.1|pacid:21815434	-2.22857444118345
bradi1g44430.1|pacid:21817351	-2.53385027702509
bradi1g44680.1|pacid:21820579	-2.90852150677933
bradi1g45220.1|pacid:21818414	2.75472198955179
bradi1g46150.1|pacid:21817900	-2.56302321991836
bradi1g47160.1|pacid:21823412	2.3876153611035
bradi1g49170.1|pacid:21816751	-2.27525486992969
bradi1g49350.1|pacid:21818671	-2.59169262844202
bradi1g49560.1|pacid:21816341	-2.5194200523222
bradi1g49560.2|pacid:21816342	-2.5194200523222
bradi1g50280.1|pacid:21822086	3.33017620434952
bradi1g53850.1|pacid:21822043	-2.32705535656313
bradi1g55110.1|pacid:21819034	-2.34561300500404
bradi1g55570.1|pacid:21817129	2.33221271549469
bradi1g56050.1|pacid:21821469	2.43907294767007
bradi1g56870.1|pacid:21817570	3.14490552574111
